Geo Point;Geo Shape;gid;libelle;ident;type;zone;comptage_5m;cdate;mdate
44.8362039, -0.578552;"{""coordinates"": [-0.578552, 44.8362039], ""type"": ""Point""}";2616;18 rue Maréchal Joffre - Vers Place Pey Berland;P52.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8137258, -0.5546308;"{""coordinates"": [-0.5546308, 44.8137258], ""type"": ""Point""}";2514;399 Boulevard J.J. Bosc - Vers rue des Terres Neuves;P1.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8342149, -0.574626;"{""coordinates"": [-0.574626, 44.8342149], ""type"": ""Point""}";2613;32 Cours Pasteur - Vers Place de la Victoire;P51.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.9070738, -0.515457;"{""coordinates"": [-0.515457, 44.9070738], ""type"": ""Point""}";2498;18 rue Montsouris - Vers Rue Boutinard;PW1-B.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8651448, -0.5999258;"{""coordinates"": [-0.5999258, 44.8651448], ""type"": ""Point""}";2464;22 place Gambetta - Vers Avenue Léon Blum;PN2.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8165789, -0.572247;"{""coordinates"": [-0.572247, 44.8165789], ""type"": ""Point""}";2550;cours de la Somme SNCF - Vers Rue Pierre de Ladime;P19.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8536108, -0.5742488;"{""coordinates"": [-0.5742488, 44.8536108], ""type"": ""Point""}";2594;Cours Evrard de Fayolle - Vers Jardin Public;P41.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8321789, -0.6480209;"{""coordinates"": [-0.6480209, 44.8321789], ""type"": ""Point""}";2711;3 Avenue de Belfort  - Vers Avenue de la Marne;PR.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8756829, -0.5906809;"{""coordinates"": [-0.5906809, 44.8756829], ""type"": ""Point""}";2489;111 Avenue Jean Jaurès - Vers Rue Alfred Bert;PX2.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8138718, -0.6042928;"{""coordinates"": [-0.6042928, 44.8138718], ""type"": ""Point""}";2699;124 Avenue de la Mission Haut Brion - Vers Rue de Peybouquey;PL.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8774539, -0.569972;"{""coordinates"": [-0.569972, 44.8774539], ""type"": ""Point""}";2435;1 avenue André Reinson  - Vers Rond Point Tobeen;PV2.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-29T10:13:37+02:00
44.8475309, -0.571076;"{""coordinates"": [-0.571076, 44.8475309], ""type"": ""Point""}";2533;10 Quai Louis XVIII - Vers Allées de Chartres;P11.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8403979, -0.5972139;"{""coordinates"": [-0.5972139, 44.8403979], ""type"": ""Point""}";2572;262 Rue Judaïque - Vers Rue Raymond Lartigue;P30.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8077689, -0.5515379;"{""coordinates"": [-0.5515379, 44.8077689], ""type"": ""Point""}";2679;1 rue Ambroise Croizat - Vers Rue Léon Gambetta;PB.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.9479538, -0.6020768;"{""coordinates"": [-0.6020768, 44.9479538], ""type"": ""Point""}";2767;27 avenue Durand Dassier - Vers Rue de la Poste;PV1.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8261499, -0.5879649;"{""coordinates"": [-0.5879649, 44.8261499], ""type"": ""Point""}";2560;231 Rue de Pessac - Vers Rue de Budos;P24.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
