event_id;observed_at;collected_at;source;temperature_c;humidity_pct;wind_speed_kmh;precipitation_mm;sensor_gid;sensor_ident;sensor_type;zone;sensor_latitude;sensor_longitude;sensor_label;comptage_5m;processed_at
d1dc40d4-5ca2-4bb0-9b3a-92665deaba6a;2026-09-25 16:15:00+00;2026-09-25 14:25:16.390422+00;open-meteo;25.90;58.00;15.60;0.00;2615;P52.1;PONCTUEL;0;44.8361999;-0.5786028;18 rue Maréchal Joffre - Vesr Rue du Hâ;;2026-09-25 14:25:31.711811+00
e56b3cb6-e92b-46b8-b5d1-604b6f33c609;2026-09-25 16:15:00+00;2026-09-25 14:24:46.259683+00;open-meteo;25.90;58.00;15.60;0.00;2615;P52.1;PONCTUEL;0;44.8361999;-0.5786028;18 rue Maréchal Joffre - Vesr Rue du Hâ;;2026-09-25 14:24:59.670843+00
853c6a6b-2b3b-4fbd-a79f-ffb06c6d7afe;2026-09-25 16:15:00+00;2026-09-25 14:24:16.126419+00;open-meteo;25.90;58.00;15.60;0.00;2615;P52.1;PONCTUEL;0;44.8361999;-0.5786028;18 rue Maréchal Joffre - Vesr Rue du Hâ;;2026-09-25 14:24:28.114698+00
d10142e9-0bf2-419a-9cb0-b462bf165f2c;2026-09-25 16:15:00+00;2026-09-25 14:23:45.98054+00;open-meteo;25.90;58.00;15.60;0.00;2615;P52.1;PONCTUEL;0;44.8361999;-0.5786028;18 rue Maréchal Joffre - Vesr Rue du Hâ;;2026-09-25 14:23:56.747811+00
05ffa627-e7ac-4519-ab68-4f79eb3cf25c;2026-09-25 16:15:00+00;2026-09-25 14:23:15.858854+00;open-meteo;25.90;58.00;15.60;0.00;2615;P52.1;PONCTUEL;0;44.8361999;-0.5786028;18 rue Maréchal Joffre - Vesr Rue du Hâ;;2026-09-25 14:23:25.566517+00
a7ddfdf4-8e9d-4f4b-8e9b-dacc2051793e;2026-09-25 16:15:00+00;2026-09-25 14:22:45.69704+00;open-meteo;25.90;58.00;15.60;0.00;2615;P52.1;PONCTUEL;0;44.8361999;-0.5786028;18 rue Maréchal Joffre - Vesr Rue du Hâ;;2026-09-25 14:22:53.737722+00
4ae7a9a1-78b1-4681-8824-72947763c0d3;2026-09-25 16:15:00+00;2026-09-25 14:22:15.580113+00;open-meteo;25.90;58.00;15.60;0.00;2615;P52.1;PONCTUEL;0;44.8361999;-0.5786028;18 rue Maréchal Joffre - Vesr Rue du Hâ;;2026-09-25 14:22:21.638395+00
ac46cebd-c398-47cf-868a-fa33acc2c90d;2026-09-25 16:15:00+00;2026-09-25 14:21:45.4469+00;open-meteo;25.90;58.00;15.60;0.00;2615;P52.1;PONCTUEL;0;44.8361999;-0.5786028;18 rue Maréchal Joffre - Vesr Rue du Hâ;;2026-09-25 14:21:50.309596+00
db722687-a1d7-47fd-bb85-65af8ee5d7b3;2026-09-25 16:15:00+00;2026-09-25 14:21:15.33279+00;open-meteo;25.90;58.00;15.60;0.00;2615;P52.1;PONCTUEL;0;44.8361999;-0.5786028;18 rue Maréchal Joffre - Vesr Rue du Hâ;;2026-09-25 14:21:19.240399+00
56086aa8-49f1-491d-a552-b061febe7427;2026-09-25 16:15:00+00;2026-09-25 14:20:45.221622+00;open-meteo;25.90;58.00;15.60;0.00;2615;P52.1;PONCTUEL;0;44.8361999;-0.5786028;18 rue Maréchal Joffre - Vesr Rue du Hâ;;2026-09-25 14:20:48.055182+00
